"","carat","cut","color","clarity","total_depth","table","length","width","depth","price"
"47006",0.51,"Premium","D","VS2",61.9,58,5.19,5.12,3.19,1818
"43710",0.59,"Premium","G","SI1",60.5,59,5.44,5.41,3.28,1437
"42152",0.5,"Ideal","I","VS1",62.2,55,5.07,5.11,3.16,1282
"23798",1.5,"Premium","H","VVS2",62.9,59,7.31,7.26,4.58,11855
"19168",1.08,"Ideal","F","VS2",61,57,6.68,6.61,4.06,7923
"49220",0.5,"Premium","F","VVS1",61.1,55,5.15,5.13,3.14,2081
"50495",0.7,"Premium","F","SI1",61.8,59,5.76,5.67,3.53,2268
"41139",0.5,"Good","G","SI1",63.9,57,5.02,5.06,3.22,1197
"17883",1.33,"Ideal","H","SI1",62.7,56,7.04,6.99,4.4,7217
"48688",0.77,"Good","E","SI2",64.1,56,5.84,5.77,3.72,2005
"28727",0.31,"Very Good","E","VS2",62.8,57,4.33,4.37,2.73,680
"23377",0.33,"Ideal","G","SI1",61.4,57,4.48,4.45,2.74,631
"5520",1,"Very Good","H","SI2",60.2,61,6.44,6.48,3.89,3850
"50084",0.76,"Very Good","J","VS2",61.2,57,5.86,5.91,3.6,2206
"142",0.71,"Premium","G","VS2",59.8,56,5.89,5.81,3.5,2766
"42607",0.32,"Very Good","I","VS1",59.8,60,4.44,4.46,2.66,505
"22197",1.61,"Ideal","I","SI1",62.4,55,7.49,7.52,4.68,10236
"20097",1.26,"Ideal","E","SI1",61.5,59,6.92,6.96,4.27,8574
"46743",0.72,"Fair","H","SI2",66,60,5.58,5.51,3.66,1799
"11836",1,"Premium","D","SI1",62.2,58,6.28,6.23,3.89,5096
"23551",1.51,"Very Good","F","SI1",63,61,7.27,7.3,4.59,11560
"3586",0.81,"Ideal","F","SI1",61.5,57,6.01,6.06,3.71,3422
"6145",0.9,"Very Good","H","VS2",62.1,57,6.16,6.23,3.85,3989
"896",1,"Fair","H","SI2",67.7,60,6.11,5.98,4.09,2875
"45291",0.51,"Ideal","E","VS2",61.5,55,5.23,5.14,3.19,1662
"3760",0.86,"Ideal","E","SI1",62.3,54,6.13,6.07,3.8,3456
"50393",0.76,"Ideal","F","SI2",61.6,57,5.91,5.85,3.62,2253
"19703",0.37,"Very Good","G","SI2",63.3,55,4.61,4.58,2.91,624
"46216",0.55,"Ideal","G","VS2",61.6,55,5.31,5.25,3.25,1752
"4505",0.8,"Ideal","E","SI1",61.7,56,5.99,6.04,3.71,3630
"34793",0.4,"Good","H","VVS2",63.2,55,4.7,4.73,2.98,877
"40121",0.41,"Premium","F","VVS2",61,59,4.79,4.82,2.93,1115
"47137",0.6,"Ideal","E","SI1",61.5,56,5.51,5.39,3.35,1830
